Approach,Generation,Replication,Proportion of Desirable Alleles,Phenotypic Value,Inbreeding
ECV Selection,4,9,0.7428714285714285,51.6988858,-
ECV Selection,0,10,0.5006635714285714,37.41305558,0.008163611239961448
ECV Selection,1,10,0.5484042857142857,41.3318709,0.1392628108654979
ECV Selection,2,10,0.6188071428571428,43.1362348,0.1790004109464073
ECV Selection,3,10,0.6721285714285714,48.4200408,0.16780920761844811
ECV Selection,4,10,0.7189,51.0561654,-
ECV Selection,0,11,0.4999692857142857,37.07518276,0.004747239263082548
ECV Selection,1,11,0.5394257142857143,39.25914832,0.054306288568057755
ECV Selection,2,11,0.6045142857142858,50.8553625,0.0835028420436661
ECV Selection,3,11,0.6689857142857143,52.1069772,0.07375448227048631
ECV Selection,4,11,0.7141142857142857,52.4766212,-
ECV Selection,0,12,0.5003457142857143,30.5526979,0.0006124340431583321
ECV Selection,1,12,0.5496314285714287,37.37751896,-0.029723607778888002
ECV Selection,2,12,0.6155428571428572,39.0738496,0.11093065095884351
ECV Selection,3,12,0.6642285714285715,40.7483746,0.2117479144989592
ECV Selection,4,12,0.7113714285714285,50.9103402,-
ECV Selection,0,13,0.5002614285714286,37.22556801,-0.021331580085033934
ECV Selection,1,13,0.5625657142857143,40.77914932,0.025629151747438378
ECV Selection,2,13,0.6480357142857143,42.605993,0.018705065139839622
ECV Selection,3,13,0.6896142857142857,49.9838294,0.13757912192680294
ECV Selection,4,13,0.7159142857142857,51.6064898,-
ECV Selection,0,14,0.5003392857142858,41.40962677,0.009198457795973192
ECV Selection,1,14,0.5551342857142857,38.2481695,0.09375721434962368
ECV Selection,2,14,0.6230642857142857,41.7802257,0.2029617111349738
ECV Selection,3,14,0.6833428571428571,44.8284656,0.21661072743705662
ECV Selection,4,14,0.7137428571428572,49.604484,-
ECV Selection,0,15,0.5007092857142857,40.11816529,0.005376320625652838
ECV Selection,1,15,0.5400885714285714,38.62426426,0.09607347385549576
ECV Selection,2,15,0.6150214285714285,36.6182841,0.18460446103450998
ECV Selection,3,15,0.6738,49.0098916,0.2032062444803182
ECV Selection,4,15,0.7272142857142857,50.0120984,-
ECV Selection,0,16,0.49953714285714285,36.68308012,0.03408550899589396
ECV Selection,1,16,0.5501485714285714,36.31012222,0.06442740066220225
ECV Selection,2,16,0.6197785714285715,43.3858299,0.11506624023670922
ECV Selection,3,16,0.6728714285714286,47.6748098,0.14870525948855823
ECV Selection,4,16,0.7090714285714286,55.4290798,-
ECV Selection,0,17,0.5000078571428571,31.53261734,0.011433405146888658
ECV Selection,1,17,0.5610857142857143,41.58709328,0.03831096125738369
ECV Selection,2,17,0.6422857142857143,45.7314494,0.15335891877398578
ECV Selection,3,17,0.6955428571428571,52.024235,0.17431360982126812
ECV Selection,4,17,0.7315714285714285,53.7126658,-
ECV Selection,0,18,0.5002085714285714,35.28785228,0.001445978068705873
ECV Selection,1,18,0.5543414285714285,47.9716158,0.19330758765141734
ECV Selection,2,18,0.6262071428571429,46.3282968,0.21644429428580605
ECV Selection,3,18,0.6726285714285715,48.4759032,0.2353788167268472
ECV Selection,4,18,0.7044285714285715,42.6737158,-
ECV Selection,0,19,0.4992192857142857,39.82508439,-0.016047850776934255
ECV Selection,1,19,0.5513985714285715,41.1885789,0.12202773319570843
ECV Selection,2,19,0.6263785714285715,43.0336898,0.19945992945607002
ECV Selection,3,19,0.6779428571428572,44.1991808,0.23755246413443531
ECV Selection,4,19,0.7089714285714286,54.9546504,-
ECV Selection,0,20,0.5002792857142857,35.23950222,-0.010885684813586403
ECV Selection,1,20,0.5481957142857142,36.5745323,0.16305772290144335
ECV Selection,2,20,0.6246785714285714,43.8770721,0.17323206343636602
ECV Selection,3,20,0.6691857142857144,45.1467382,0.14843324697466345
ECV Selection,4,20,0.7215285714285714,48.5461366,-
ECV Selection,0,21,0.5006264285714286,33.15168622,-0.003997241514213569
ECV Selection,1,21,0.5650985714285715,42.11003734,0.09548353530856497
ECV Selection,2,21,0.6260857142857142,40.2225121,0.1638076195398067
ECV Selection,3,21,0.6815571428571429,50.0746824,0.12611429753291292
ECV Selection,4,21,0.7187428571428571,47.5550182,-
ECV Selection,0,22,0.4990478571428571,39.36235902,0.007394001442109679
ECV Selection,1,22,0.5479442857142857,33.60980012,0.08192975272269239
ECV Selection,2,22,0.6267642857142857,46.812818,0.17340309085094863
ECV Selection,3,22,0.6815428571428571,46.80138,0.18681226341931725
ECV Selection,4,22,0.7323142857142857,53.7629364,-
ECV Selection,0,23,0.5001228571428572,36.22253533,-0.027151575003581608
ECV Selection,1,23,0.5564114285714286,39.28886158,0.11491668504921329
ECV Selection,2,23,0.6316142857142857,44.4287157,0.21338187486349183
ECV Selection,3,23,0.6837428571428572,49.2673172,0.20050772913366252
ECV Selection,4,23,0.7201857142857142,52.878007,-
ECV Selection,0,24,0.5000707142857143,34.84621889,-0.013524550124027172
ECV Selection,1,24,0.5521785714285715,37.88305982,0.19363737539592663
ECV Selection,2,24,0.6264857142857143,42.4358544,0.20266830912480785
ECV Selection,3,24,0.6890714285714286,42.5483322,0.20074057454296104
ECV Selection,4,24,0.7051571428571428,50.0563124,-
ECV Selection,0,25,0.4999935714285714,37.04538633,0.005312023223170279
ECV Selection,1,25,0.5493442857142856,39.64586978,0.05115516691909805
ECV Selection,2,25,0.6200428571428571,48.9304568,0.13284793037936884
ECV Selection,3,25,0.6837857142857143,46.8537966,0.11567550486739488
ECV Selection,4,25,0.7237142857142856,51.8541994,-
ECV Selection,0,26,0.5001671428571428,37.41360575,-0.007221238871302753
ECV Selection,1,26,0.5545785714285715,44.26195572,0.015269784658324343
ECV Selection,2,26,0.61865,53.031773,0.19688532576980533
ECV Selection,3,26,0.6690142857142858,37.9614734,0.22529679879503614
ECV Selection,4,26,0.7048142857142857,55.691938,-
ECV Selection,0,27,0.5000778571428572,33.41459549,-0.007443364297943848
ECV Selection,1,27,0.5661142857142857,37.70502828,0.13963319241270944
ECV Selection,2,27,0.6344428571428572,45.3412238,0.184318294166612
ECV Selection,3,27,0.6878285714285715,43.5128718,0.1877731685006257
ECV Selection,4,27,0.7038571428571428,51.0391976,-
ECV Selection,0,28,0.49983142857142854,34.81398611,0.011933038796212846
ECV Selection,1,28,0.5510985714285714,35.23073882,0.10639795696289117
ECV Selection,2,28,0.6299785714285715,44.679065,0.12899821978123074
ECV Selection,3,28,0.7029285714285715,52.9068306,0.1887423683653437
ECV Selection,4,28,0.7377142857142858,54.7346058,-
ECV Selection,0,29,0.49964142857142857,26.65062227,0.0022501470044083887
ECV Selection,1,29,0.5513514285714286,42.82360512,0.10984694251192628
ECV Selection,2,29,0.6163285714285714,40.3757219,0.1938262313220919
ECV Selection,3,29,0.6744857142857142,51.1838316,0.18802654195133325
ECV Selection,4,29,0.7096142857142858,47.7582754,-
