Approach,Generation,Replication,Proportion of Desirable Alleles,Phenotypic Value,Inbreeding
Phenotypic Selection,4,18,0.7117,29.7153042,-
Phenotypic Selection,0,19,0.50144,19.52799673,0.0037232268770196583
Phenotypic Selection,1,19,0.595845,23.86142814,0.023061622189768802
Phenotypic Selection,2,19,0.63145,27.0311331,0.3178063148287054
Phenotypic Selection,3,19,0.667575,26.6656074,0.5285284787484318
Phenotypic Selection,4,19,0.6857,27.9074154,-
Phenotypic Selection,0,20,0.5001212500000001,19.65468395,-0.002109671570926126
Phenotypic Selection,1,20,0.5714,22.59852418,0.05670671203049399
Phenotypic Selection,2,20,0.6543625,27.3627042,0.3108076070563532
Phenotypic Selection,3,20,0.688025,27.3371518,0.5576127831810938
Phenotypic Selection,4,20,0.7479250000000001,31.0364,-
Phenotypic Selection,0,21,0.49943125000000005,19.75649229,-0.0013769627899086238
Phenotypic Selection,1,21,0.57501,23.93736666,0.07946015317235555
Phenotypic Selection,2,21,0.59645,23.8177978,0.2748370890665983
Phenotypic Selection,3,21,0.6544749999999999,29.8484678,0.5241051515568432
Phenotypic Selection,4,21,0.701375,28.9670882,-
Phenotypic Selection,0,22,0.49983500000000003,19.87635749,-0.01085123077779787
Phenotypic Selection,1,22,0.6129225,23.80254274,0.13143344145485578
Phenotypic Selection,2,22,0.7238125,29.810236,0.2029661194485325
Phenotypic Selection,3,22,0.712075,29.0949168,0.42161912977927685
Phenotypic Selection,4,22,0.7482,30.4117384,-
Phenotypic Selection,0,23,0.50031875,20.53985854,0.002967809780704635
Phenotypic Selection,1,23,0.56861,23.87412144,0.04941977372433579
Phenotypic Selection,2,23,0.637775,25.4556759,0.1569356728653331
Phenotypic Selection,3,23,0.6587500000000001,28.80816,0.557268673421981
Phenotypic Selection,4,23,0.678625,28.0426106,-
Phenotypic Selection,0,24,0.50083,19.53926274,-0.010799491393467227
Phenotypic Selection,1,24,0.6072775,22.57274326,0.01068155316474724
Phenotypic Selection,2,24,0.6627875000000001,23.3612864,0.151064538453051
Phenotypic Selection,3,24,0.6965250000000001,28.7060878,0.4650932512297411
Phenotypic Selection,4,24,0.712425,26.2010798,-
Phenotypic Selection,0,25,0.5001075,19.69197303,0.01338685583776915
Phenotypic Selection,1,25,0.5915524999999999,21.8962342,0.0012486830919728558
Phenotypic Selection,2,25,0.633275,27.6775455,0.14417741271274634
Phenotypic Selection,3,25,0.672375,26.915025,0.47713549567164226
Phenotypic Selection,4,25,0.742475,28.4935364,-
Phenotypic Selection,0,26,0.49930250000000004,20.42968172,-0.001136166183149099
